topic_id,level,subject,topic_text,one_line_context,stance_clarity,difficulty,keywords,sensitive
1,초등_저학년,국어,발표를 싫어하는 학생은 발표를 안 해도 된다,발표가 무서운 친구가 있어요,true,1,발표|의견|존중,false
2,초등_저학년,국어,친구의 말을 끝까지 듣는 것이 중요하다,대화 중 말을 끊는 일이 생겨요,true,1,대화|경청|존중,false
3,초등_저학년,국어,내 의견과 다른 의견도 존중해야 한다,친구와 생각이 달라요,true,1,의견|존중|차이,false
4,초등_저학년,국어,틀린 답을 말해도 놀리면 안 된다,수업 중 답을 말했어요,true,1,존중|수업|배려,false
5,초등_저학년,국어,친구의 이야기에 공감해 주는 것이 필요하다,친구가 속상해해요,true,1,공감|대화|친구,false
6,초등_저학년,사회,학교 규칙은 모두에게 똑같이 적용돼야 한다,규칙을 어긴 친구가 있어요,true,1,규칙|공정|학교,false
7,초등_저학년,사회,지각한 학생도 이유가 있으면 이해해줘야 한다,버스를 놓쳤어요,true,1,지각|이해|규칙,false
8,초등_저학년,사회,반에서 맡은 역할은 끝까지 해야 한다,청소 당번이에요,true,1,역할|책임|반,false
9,초등_저학년,사회,학교 행사 준비는 모두가 참여해야 한다,행사를 준비해요,true,1,참여|협력|학교,false
10,초등_저학년,사회,차례를 지키는 것은 중요하다,줄을 서야 해요,true,1,질서|차례|공동체,false
11,초등_저학년,사회,학급 규칙은 함께 정하는 것이 좋다,새 규칙을 만들어요,true,2,규칙|의견|참여,false
12,초등_저학년,사회,공공장소에서는 조용히 해야 한다,도서관에 갔어요,true,1,공공장소|질서,false
13,초등_저학년,과학,환경 보호를 위해 분리수거는 꼭 해야 한다,쓰레기가 많아요,true,1,환경|분리수거,false
14,초등_저학년,과학,전기를 아끼기 위해 불을 자주 꺼야 한다,불이 켜져 있어요,true,1,전기|절약,false
15,초등_저학년,과학,학교에서 일회용품 사용을 줄여야 한다,컵을 많이 써요,true,2,환경|일회용품,false
16,초등_저학년,과학,물은 아껴 써야 한다,수도물이 나와요,true,1,물|절약,false
17,초등_저학년,과학,동물을 함부로 대하면 안 된다,동물을 봤어요,true,1,동물|생명,false
18,초등_저학년,과학,자연을 보호하는 행동을 해야 한다,공원에 쓰레기가 있어요,true,2,자연|보호,false
19,초등_저학년,도덕,친구가 약속을 어겼다면 한 번은 용서해야 한다,약속을 못 지켰어요,true,1,약속|용서,false
20,초등_저학년,도덕,잘못했을 때 솔직하게 말하는 것이 중요하다,실수를 했어요,true,1,정직|책임,false
21,초등_저학년,도덕,내 물건을 친구와 나누는 것은 좋은 일이다,연필이 없어요,true,1,나눔|배려,false
22,초등_저학년,도덕,친구를 놀리는 행동은 하면 안 된다,별명을 불러요,true,1,존중|배려,false
